pattern,replacement
adjoum,adjourn
adjoum,adjourn
admissable,admissible
aHect,affect
afiidavit,affidavit
aflidavit,affidavit
amdavit,affidavit
ailidavit,affidavit
adidavit,affidavit
atlidavit,affidavit
atlirm,affirm
aflirm,affirm
aiiirm,affirm
aflix,affix
arlsing,arising
attotney,attorney
attomey,attorney
attorncy,attorney
authoris,authoriz
behaviour,behavior
beneiit,benefit
certiiiable,certifiable
certiiicate,certificate
certiIicate,certificate
certiiied,certified
certiiies,certifies
contine,confine
continement,confinement
counter claim,counterclaim
counter-claim,counterclaim
coimtry,country
decypher,decipher
dccision,decision
defence,defense
despatch,dispatch
dissatistied,dissatisfied
impanel,empanel
inclosure,enclosure
incumbrance,encumbrance
tile,file
iile,file
hle,file
hling,filing
tinal,final
tines,fines
hrst,first
iirst,first
Iirst,first
dirst,first
iive,five
iixed,fixed
tixed,fixed
fbr,for
{hr,for
inferible,inferable
inferrible,inferable
jndge,judge
jusisdiction,jurisdiction
justiflcation,justification
justilication,justification
justihcation,justification
moditied,modified
rnust,must
oi',of
oflice,office
ollice,office
ofhce,office
ofiice,office
oflice,office
otlice,office
ollice,office
eiiice,office
ofice,office
omce,office
oflieer,officer
otiice,office
ofhce,office
oflicial,official
oycr,oyer
panelled,paneled
plaintiif,plaintiff
plaintid‘,plaintiff
plaintif,plaintiff
plaintilf,plaintiff
plaintiH',plaintiff
plainti&',plaintiff
platntjii,plaintiff
plainti1f,plaintiff
plaintitf,plaintiff
pretence,pretense
qualiiication,qualification
qualitication,qualification
recognisance,recognizance
reiiled,refiled
rernain,remain
sheri&,sheriff
sheriif,sheriff
sherilf,sheriff
sheritf,sheriff
sheriif,sheriff
sherill,sheriff
"sherill""",sheriff
sheriE,sheriff
specitied,specified
stateinent,statement
subpcena,subpoena
subpaana,subpoena
suflicient,sufficient
sutlicient,sufficient
suiIicient,sufficient
sutliizient,sufficient
tenn,term
termincr,terminer
therefor,therefore
thereot,thereof
tq,to
friable,triable
veritied,verified
veritied,verified
verihed,verified
yvhere,where
wilful,willful
vvitness,witness
enquir,inquir
moneys,monies
offence,offense
termissee,tennissee
t§,§
",§",§
"';§",§
"‘§",§
".§",§
:§,§
§§,§
"' §",§
"{3",§
"’ §",§
Tlie,The
Jndgment,Judgement
": _ §",§
"l §",§
", ~ SEC",SEC
", ~ SEC",SEC
"- SEC.","SEC."
"‘ ‘ SEC",SEC
"‘ SEC.","SEC."
"7 SEC. 118.", "SEC. 118."
"SEC. 12""].","SEC. 127."
".SEC.","SEC,"
"' SEC.","SEC."
"Arrr.","Art."
"Am‘.","Art."
", Am.","Art."
"Anr.","Art."
"CHAPT R","CHAPTER"
"Am-.","Art."
"Aivr.","Art."
"Aar.","Art."
"Am-.","Art."
"Aer.","Art."
"SE01‘.","SECT."
"Sncr.","SECT."
"Saar.","SECT."
"S1-10-1‘.","SECT."
"Sscrxon","SECTION"
"Sscrxox","SECTION"
"Sscrrou","SECTION"
"SBCHON","SECTION"
"Snorer:","SECTION"
"SEC1'I0.N","SECTION"
"Fz’rst.","First."
"CIIAPTER","CHAPTER"
